UNIT_LINK,LITH_RANK,LITH1,LITH2,LITH3,LITH4,LITH5,TOTAL_LITH,LOW_LITH,LITH_FORM,LITH_COM
OKQa;0,Major,Unconsolidated,Fine-detrital,,,,"Unconsolidated
     Fine-detrital
          
               
",Fine-detrital,Alluvial,
OKQal;0,Major,Unconsolidated,Fine-detrital,,,,"Unconsolidated
     Fine-detrital
          
               
",Fine-detrital,Alluvial,
OKQd;0,Major,Unconsolidated,Fine-detrital,,,,"Unconsolidated
     Fine-detrital
          
               
",Fine-detrital,Eolian,
OKQds;0,Major,Unconsolidated,Fine-detrital,,,,"Unconsolidated
     Fine-detrital
          
               
",Fine-detrital,Eolian,
OKQt;0,Major,Unconsolidated,Coarse-detrital,,,,"Unconsolidated
     Coarse-detrital
          
               
",Coarse-detrital,Alluvial,
OKQt;0,Major,Unconsolidated,Fine-detrital,,,,"Unconsolidated
     Fine-detrital
          
               
",Fine-detrital,Alluvial,
OKQt;0,"Indeterminate, major",Igneous,Volcanic,,,,"Igneous
     Volcanic
          
               
",Volcanic,"Pyroclastic, air fall",
OKTb;0,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,"Igneous
     Volcanic
          Mafic-volcanic
               Basalt
",Basalt,Flow,
OKTo;0,Major,Unconsolidated,Coarse-detrital,Sand,,,"Unconsolidated
     Coarse-detrital
          Sand
               
",Sand,Bed,
OKTo;0,Major,Sedimentary,Clastic,Siltstone,,,"Sedimentary
     Clastic
          Siltstone
               
",Siltstone,Bed,
OKTo;0,Major,Unconsolidated,Fine-detrital,Clay,,,"Unconsolidated
     Fine-detrital
          Clay
               
",Clay,Bed,
OKTo;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,"Unconsolidated
     Coarse-detrital
          Gravel
               
",Gravel,Bed,
OKTo;0,Major,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed,
OKTo;0,Minor,Igneous,Volcanic,,,,"Igneous
     Volcanic
          
               
",Volcanic,"Pyroclastic, air fall",
OKToa;0,Major,Unconsolidated,Coarse-detrital,Sand,,,"Unconsolidated
     Coarse-detrital
          Sand
               
",Sand,Bed,
OKToa;0,Major,Unconsolidated,Coarse-detrital,Silt,,,"Unconsolidated
     Coarse-detrital
          Silt
               
",Silt,Bed
OKToa;0,Major,Unconsolidated,Fine-detrital,Clay,,,"Unconsolidated
     Fine-detrital
          Clay
               
",Clay,Bed
OKToa;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,"Unconsolidated
     Coarse-detrital
          Gravel
               
",Gravel,Bed
OKToa;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKToa;0,Major,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKToa;0,Major,Sedimentary,Clastic,Conglomerate,,,"Sedimentary
     Clastic
          Conglomerate
               
",Conglomerate,Bed
OKToa;0,"Indeterminate, major",Igneous,Volcanic,,,,"Igneous
     Volcanic
          
               
",Volcanic,"Pyroclastic, air fall"
OKKo;0,Major,Sedimentary,Carbonate,Marlstone,,,"Sedimentary
     Carbonate
          Marlstone
               
",Marlstone,Bed
OKKo;0,Major,Sedimentary,Clastic,Mudstone,,,"Sedimentary
     Clastic
          Mudstone
               
",Mudstone,Bed
OKKo;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKo;0,Major,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKbr;0,Major,Sedimentary,Carbonate,Marlstone,,,"Sedimentary
     Carbonate
          Marlstone
               
",Marlstone,Bed
OKKbr;0,Major,Sedimentary,Clastic,Mudstone,,,"Sedimentary
     Clastic
          Mudstone
               
",Mudstone,Bed
OKKbr;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKbr;0,Minor,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKef;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKef;0,Minor,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKef;0,Minor,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKto;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKto;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKw;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKw;0,Major,Sedimentary,Clastic,Mudstone,,,"Sedimentary
     Clastic
          Mudstone
               
",Mudstone,Bed
OKKw;0,Minor,Sedimentary,Clastic,Conglomerate,,,"Sedimentary
     Clastic
          Conglomerate
               
",Conglomerate,Bed
OKKw;0,Incidental,Sedimentary,Coal,,,,"Sedimentary
     Coal
          
               
",Coal,Bed
OKKwt;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKwt;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKwl;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKwl;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKwr;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKwr;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKwr;0,Minor,Sedimentary,Coal,,,,"Sedimentary
     Coal
          
               
",Coal,Bed
OKKwd;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKwd;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKwd;0,Minor,Sedimentary,Coal,,,,"Sedimentary
     Coal
          
               
",Coal,Bed
OKKgb;0,Major,Sedimentary,Carbonate,Marlstone,,,"Sedimentary
     Carbonate
          Marlstone
               
",Marlstone,Bed
OKKgb;0,Minor,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKb;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,"Sedimentary
     Clastic
          Mudstone
               Claystone
",Claystone,Bed
OKKb;0,Minor,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKb;0,Minor,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKpm;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKpm;0,Minor,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKws;0,Major,Sedimentary,Clastic,Mudstone,,,"Sedimentary
     Clastic
          Mudstone
               
",Mudstone,Bed
OKKws;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKws;0,Major,Sedimentary,Clastic,Sandstone,,,"Sedimentary
     Clastic
          Sandstone
               
",Sandstone,Bed
OKKws;0,Minor,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKdc;0,Major,Sedimentary,Clastic,Mudstone,,,"Sedimentary
     Clastic
          Mudstone
               
",Mudstone,Bed
OKKdc;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKdc;0,"Indeterminate, major",Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKcf;0,Major,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
OKKcf;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKcf;0,Major,Sedimentary,Carbonate,Marlstone,,,"Sedimentary
     Carbonate
          Marlstone
               
",Marlstone,Bed
OKKki;0,Major,Sedimentary,Clastic,Mudstone,Shale,,"Sedimentary
     Clastic
          Mudstone
               Shale
",Shale,Bed
OKKki;0,Minor,Sedimentary,Carbonate,Limestone,,,"Sedimentary
     Carbonate
          Limestone
               
",Limestone,Bed
