REF_ID,REFERENCE
OK001,"Heran, W. D., Green, G. and Stoeser, D. B., 2003, A Digital Geologic Map Database of Oklahoma: U. S. G. S. Open File Report 03-247"
OK002,"Sapik, D.B. and Goemaat, R.L., 1973, Reconnaissance of the ground-water resources of Cimarron County, Oklahoma: U.S Geological Survey Hydrologic Investigations Atlas HA-373, scale 1:125,000, 3 sheets.  (Geology on sheet 1 compiled by S.L. Schoff, 1943.)"
OK003,"Cederstrand, J.R., 1996c, Digital geologic map of Cimarron County, Oklahoma: U.S. Geological Survey Open-File Report 96-372, (1 diskette), URL address is: http://ok.water.usgs.gov/gis/geology"
OK004,"Wood, P.R. and Hart, D.L. Jr, 1967, Availability of ground water in Texas County, Oklahoma: U.S. Geological Survey Hydrologic Investigations Atlas HA-250, scale 1:125,000, 3 sheets.  (Geology on sheet 1 compiled by S.L. Schoff, 1939 and 1953.)"
OK005,"Cederstrand, J.R., 1996j, Digital geologic map of Texas County, Oklahoma: U.S. Geological Survey Open-File Report 96-379, (1 diskette), URL address is: http://ok.water.usgs.gov/gis/geology"
OK006,"Morton, R.B. and Goemaat, R.L., 1973, Reconnaissance of the water resources of Beaver County, Oklahoma: U.S. Geological Survey Hydrologic Investigations Atlas HA-450, scale 1:125,000, 3 sheets.  (Geology on sheet 1 compiled by S.L. Schoff, 1953.)"
OK007,"Cederstrand, J.R., 1996b, Digital geologic map of Beaver County, Oklahoma: U.S. Geological Survey Open-File Report 96-371, (1 diskette), URL address is: http://ok.water.usgs.gov/gis/geology"
OK008,"Morton, R.B., 1980, Reconnaissance of the water resources of the Woodward quadrangle, northwestern Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 8, scale 1:250,000, 4 sheets.  (Geology on sheet 1 compiled by R.B. Morton, 1973, and R.O. Fay, 1977"
OK009,"Cederstrand, J.R., 1996l, Digital geologic map of Woodward quadrangles, northwestern Oklahoma: U.S. Geological Survey Open-File Report 96-381,(2 diskettes), URL address is: http://ok.water.usgs.gov/gis/geology"
OK010,"Bingham, R.H. and Bergman, D.L., 1980, Reconnaissance of the water resources of the Enid quadrangle, north-central Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 7, sale 1:250,000, 4 sheets. (Geology on sheet 1 compiled by R.H. Bingham, andR.O."
OK011,"Cederstrand, J.R., 1996e, Digital geologic map of Enid quadrangles, north-central Oklahoma: U.S. Geological Survey Open-File Report 96-374, (4 diskettes), URL address is: http://ok.water.usgs.gov/gis/geology"
OK012,"Marcher, M.V., and Bingham R.H., 1971, Reconnaissance of the water resources of the Tulsa quadrangle, northeastern Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 2, scale 1:250,000, 4 sheets.  (Geology on sheet 1 compiled by M.V. Marcher, in1969"
OK013,"Cederstrand, J.R., 1996k, Digital geologic map of Tulsa quadrangles, northeastern Oklahoma: U.S. Geological Survey Open-File Report 96-380, (2 diskettes), URL address is: http://ok.water.usgs.gov/gis/geology"
OK014,"Carr, J.E. and Bergman, D.L., 1976, Reconnaissance of the water resources of the Clinton quadrangle, west-central Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 5, scale 1:250,000, 4 sheets.  (Geology on sheet 1 compiled by J.E. Carr, 1972, and R"
OK015,"Cederstrand, J.R., 1996d, Digital geologic map of Clinton quadrangles, west-central Oklahoma: U.S. Geological Survey Open-File Report 96-373, (2 diskettes), URL address is: http://ok.water.usgs.gov/gis/geology"
OK016,"Bingham, R.H. and Moore, R.L., 1975, Reconnaissance of the Water Resources of the Oklahoma City quadrangle, central Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 4, Scale 1:250,000, 4 sheets.  (Geology on sheet 1 compiled by R.H. Bingham andR.O"
OK017,"Cederstrand, J.R., 1996i, Digital geologic map of Oklahoma City quadrangles, central Oklahoma: U.S. Geological Survey Open-File Report 96-378, (2 diskettes), URL address is: http://ok.water.usgs.gov/gis/geology"
OK018,"Marcher, M.V., 1969, Reconnaissance of the water resources of the Fort Smith quadrangle, east-central Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 1, scale 1:250,000, 4 sheets.  (Geology on sheet 1 compiled by M.V. Marcher, in 1967.)"
OK019,"Cederstrand, J.R., 1996f, Digital geologic map of Fort Smith quadrangles, east-central Oklahoma: U.S. Geological Survey Open-File Report 96-375, (2 diskettes), URL address is: http://ok.water.usgs.gov/gis/geology"
OK020,"Havens, J.S., 1977, Reconnaissance of the water resources of the Lawton quadrangle, southwestern Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 6, scale 1:250,000, 4 sheets.  (Geology on sheet 1 compiled by R.O. Fay, 1967-68 and J.S. Havens, 1973"
OK021,"Cederstrand, J.R., 1996g, Digital geologic map of Lawton quadrangles, southwestern Oklahoma: U.S. Geological Survey Open-File Report 96-376, (3 diskettes), URL address is: http://ok.water.usgs.gov/gis/geology"
OK022,"Hart, D.L., 1974, Reconnaissance of the water resources of the Ardmore and Sherman quadrangles, southern Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 3, scale 1:250,000, 4 sheets.   (Geology on sheet 1 compiled by D.L. Hart, and R.O. Fay, in 19"
OK023,"Cederstrand, J.R., 1996a, Digital geologic map of Ardmore-Sherman quadrangles, south-central Oklahoma: U.S. Geological Survey Open-File Report 96-370, (3 diskettes), URL address is: http://ok.water.usgs.gov/gis/geology"
OK024,"Marcher, M.V. and Bergman, D.L., 1983, Reconnaissance of the waterresources of the McAlester and Texarkana quadrangles, southeastern Oklahoma: Oklahoma Geological Survey, Hydrologic Atlas 9, scale 1:250,000, 4 sheets.  (Geology on sheet 1 compiled by M."
